"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.605187510E2,6.500641167E1,2.561046333E1,2.492437283E1,2.724939346E0,1.477500000E2,1.500000000E0,7.699999809E0
1.615187510E2,6.500639167E1,2.561048833E1,2.502437513E1,2.716189146E0,1.563000031E2,1.500000000E0,7.800000191E0
1.625187510E2,6.500637167E1,2.561051167E1,2.492437764E1,2.687879562E0,1.546699982E2,1.500000000E0,7.800000191E0
1.635187510E2,6.500634833E1,2.561053667E1,2.492438084E1,2.665746450E0,1.551199951E2,1.500000000E0,8.100000381E0
1.645187510E2,6.500632833E1,2.561055167E1,2.492438435E1,2.670893669E0,1.706100006E2,1.500000000E0,8.000000000E0
1.655187510E2,6.500630667E1,2.561055667E1,2.522438952E1,2.635377884E0,1.816300049E2,1.500000000E0,8.000000000E0
1.665187510E2,6.500628333E1,2.561055667E1,2.542439573E1,2.661113977E0,1.881100006E2,1.500000000E0,7.800000191E0
1.675187510E2,6.500625833E1,2.561055000E1,2.552440320E1,2.682732105E0,1.933699951E2,1.500000000E0,7.800000191E0
1.685187510E2,6.500623667E1,2.561053500E1,2.562441079E1,2.661628723E0,2.051300049E2,1.799999952E0,8.399999619E0
1.695187510E2,6.500621500E1,2.561050667E1,2.602441999E1,2.639495611E0,2.022500000E2,1.500000000E0,7.900000095E0
1.705187510E2,6.500619167E1,2.561049333E1,2.662442783E1,2.664202213E0,1.990099945E2,1.500000000E0,7.400000095E0
1.715187510E2,6.500617167E1,2.561046500E1,2.672443659E1,2.701776981E0,2.046900024E2,1.500000000E0,7.400000095E0
1.725187510E2,6.500615000E1,2.561044500E1,2.692444479E1,2.636407137E0,2.091999969E2,1.500000000E0,7.400000095E0
1.735187510E2,6.500612833E1,2.561041500E1,2.682445419E1,2.656481504E0,2.049199982E2,1.500000000E0,7.300000191E0
1.745187510E2,6.500610833E1,2.561039000E1,2.702446255E1,2.692512035E0,1.997799988E2,1.500000000E0,7.500000000E0
1.755187510E2,6.500608833E1,2.561036333E1,2.682447112E1,2.675526142E0,2.083099976E2,1.500000000E0,7.500000000E0
1.765187510E2,6.500607000E1,2.561034333E1,2.672447843E1,2.589052677E0,2.118099976E2,1.500000000E0,7.500000000E0
1.775187510E2,6.500604667E1,2.561032000E1,2.682448748E1,2.569493294E0,2.027700043E2,1.500000000E0,7.400000095E0
1.785187510E2,6.500602500E1,2.561029833E1,2.702449588E1,2.605009079E0,1.981799927E2,1.500000000E0,7.400000095E0
1.795187510E2,6.500600500E1,2.561027333E1,2.732450425E1,2.555595875E0,2.103300018E2,1.500000000E0,7.500000000E0
1.805187510E2,6.500598500E1,2.561024833E1,2.732451261E1,2.501549959E0,2.081399994E2,1.500000000E0,7.500000000E0
1.815187510E2,6.500596333E1,2.561023000E1,2.742452061E1,2.509785652E0,2.013500061E2,1.500000000E0,7.400000095E0
1.825187510E2,6.500594167E1,2.561021000E1,2.782452882E1,2.540668964E0,1.998800049E2,1.500000000E0,7.400000095E0
1.835187510E2,6.500592000E1,2.561018000E1,2.782453823E1,2.495373249E0,2.101199951E2,1.500000000E0,7.400000095E0
1.845187510E2,6.500590000E1,2.561015333E1,2.732454680E1,2.486623049E0,2.088399963E2,1.399999976E0,7.500000000E0
1.855187510E2,6.500587667E1,2.561012500E1,2.702455647E1,2.551992893E0,2.023500061E2,1.399999976E0,7.300000191E0
1.865187510E2,6.500585333E1,2.561009833E1,2.662456593E1,2.580302477E0,2.057100067E2,1.399999976E0,7.400000095E0
1.875187510E2,6.500583333E1,2.561007333E1,2.652457430E1,2.541698217E0,2.091199951E2,1.399999976E0,7.400000095E0
1.885187510E2,6.500581167E1,2.561005167E1,2.652458271E1,2.549419165E0,2.073300018E2,1.399999976E0,7.400000095E0
1.895187510E2,6.500579167E1,2.561002833E1,2.672459088E1,2.587508678E0,2.092700043E2,1.500000000E0,7.400000095E0
1.905187510E2,6.500577500E1,2.561000500E1,2.682459816E1,2.583905458E0,2.116699982E2,1.500000000E0,7.500000000E0
1.915187510E2,6.500575333E1,2.560998167E1,2.682460678E1,2.542727709E0,2.079799957E2,1.399999976E0,7.400000095E0
1.925187510E2,6.500573000E1,2.560995833E1,2.652461584E1,2.580302477E0,2.014400024E2,1.399999976E0,7.300000191E0
1.935187510E2,6.500570667E1,2.560993333E1,2.632462510E1,2.606038570E0,2.010800018E2,1.399999976E0,7.199999809E0
1.945187510E2,6.500568500E1,2.560991500E1,2.622463311E1,2.573611021E0,2.083899994E2,1.500000000E0,7.500000000E0
1.955187510E2,6.500566667E1,2.560989167E1,2.642464084E1,2.520080090E0,2.076600037E2,1.399999976E0,7.300000191E0
1.965187510E2,6.500564500E1,2.560986833E1,2.672464946E1,2.548389673E0,2.002299957E2,1.500000000E0,7.300000191E0
1.975197510E2,6.500562333E1,2.560983667E1,2.692465910E1,2.577728987E0,2.063800049E2,1.500000000E0,7.199999809E0
1.985197510E2,6.500560333E1,2.560981833E1,2.702466667E1,2.546845675E0,2.079100037E2,1.399999976E0,7.300000191E0
1.995197510E2,6.500558167E1,2.560979167E1,2.692467569E1,2.559713602E0,2.067299957E2,1.399999976E0,7.000000000E0
2.005197510E2,6.500556000E1,2.560976833E1,2.682468432E1,2.579787731E0,2.054600067E2,1.500000000E0,7.199999809E0
2.015197510E2,6.500554167E1,2.560974167E1,2.662469246E1,2.569493294E0,2.113999939E2,1.500000000E0,7.300000191E0
2.025197510E2,6.500552167E1,2.560971833E1,2.642470064E1,2.544271946E0,2.078399963E2,1.399999976E0,7.300000191E0
2.035197510E2,6.500550333E1,2.560969500E1,2.642470837E1,2.543757200E0,2.019199982E2,1.500000000E0,7.300000191E0
2.045197510E2,6.500548167E1,2.560966833E1,2.592471740E1,2.533977509E0,2.083699951E2,1.500000000E0,7.300000191E0
2.055197510E2,6.500546000E1,2.560965000E1,2.582472542E1,2.509785652E0,2.124600067E2,1.399999976E0,7.400000095E0
2.065197510E2,6.500543833E1,2.560962333E1,2.572473446E1,2.514932871E0,2.067200012E2,1.399999976E0,7.300000191E0
2.075197510E2,6.500541833E1,2.560959667E1,2.592474304E1,2.527286053E0,2.028399963E2,1.500000000E0,7.500000000E0
2.085197510E2,6.500540167E1,2.560956500E1,2.612475135E1,2.513388634E0,2.099900055E2,1.500000000E0,7.500000000E0
2.095197510E2,6.500538500E1,2.560954333E1,2.592475844E1,2.415591478E0,2.108699951E2,1.500000000E0,7.599999905E0
2.105197510E2,6.500537000E1,2.560952500E1,2.592476468E1,2.328088522E0,2.070299988E2,1.500000000E0,7.699999809E0
2.115197510E2,6.500535667E1,2.560951500E1,2.592476947E1,2.232350349E0,2.112500000E2,1.500000000E0,7.300000191E0
2.125197510E2,6.500534833E1,2.560950667E1,2.622477271E1,2.098522425E0,2.081499939E2,1.399999976E0,7.099999905E0
2.135197510E2,6.500533667E1,2.560949667E1,2.662477704E1,1.942561626E0,2.188600006E2,1.399999976E0,7.199999809E0
2.145197510E2,6.500532500E1,2.560948833E1,2.702478118E1,1.833955288E0,2.167400055E2,1.399999976E0,7.099999905E0
2.155197510E2,6.500531167E1,2.560947000E1,2.712478697E1,1.766526699E0,2.094299927E2,1.399999976E0,7.000000000E0
2.165197510E2,6.500529833E1,2.560946667E1,2.712479094E1,1.633728385E0,1.946499939E2,1.399999976E0,7.099999905E0
2.175197510E2,6.500528333E1,2.560945833E1,2.702479597E1,1.517401099E0,1.985500031E2,1.399999976E0,7.099999905E0
2.185197510E2,6.500527000E1,2.560944167E1,2.692480156E1,1.444825292E0,1.980000000E2,1.399999976E0,7.000000000E0
2.195197510E2,6.500526000E1,2.560941667E1,2.672480728E1,1.417030334E0,2.080399933E2,1.399999976E0,7.099999905E0
2.205197510E2,6.500525000E1,2.560940000E1,2.672481199E1,1.390779495E0,2.086100006E2,1.399999976E0,7.099999905E0
2.215197510E2,6.500524167E1,2.560938500E1,2.662481604E1,1.412397742E0,2.120000000E2,1.399999976E0,7.099999905E0
2.225197510E2,6.500523333E1,2.560937333E1,2.632481969E1,1.433501363E0,2.099799957E2,1.399999976E0,7.000000000E0
2.235197510E2,6.500522333E1,2.560936833E1,2.642482297E1,1.452031374E0,2.122299957E2,1.399999976E0,6.900000095E0
2.245197510E2,6.500521333E1,2.560935500E1,2.622482727E1,1.450487256E0,2.231100006E2,1.399999976E0,6.900000095E0
2.255197510E2,6.500520500E1,2.560933167E1,2.592483234E1,1.410853624E0,2.213300018E2,1.399999976E0,7.000000000E0
2.265197510E2,6.500519667E1,2.560931667E1,2.582483640E1,1.375337720E0,2.102799988E2,1.399999976E0,7.000000000E0
2.275197510E2,6.500518833E1,2.560929833E1,2.582484086E1,1.339821935E0,2.092599945E2,1.399999976E0,7.000000000E0
2.285197510E2,6.500517833E1,2.560928333E1,2.572484537E1,1.315629959E0,2.044600067E2,1.399999976E0,7.000000000E0
2.295197510E2,6.500516833E1,2.560926833E1,2.562484987E1,1.279084682E0,2.109900055E2,1.399999976E0,7.099999905E0
2.305197510E2,6.500516167E1,2.560925167E1,2.562485369E1,1.279599428E0,2.145500031E2,1.399999976E0,7.099999905E0
2.315197510E2,6.500515167E1,2.560922500E1,2.552485961E1,1.270849109E0,2.185099945E2,1.399999976E0,7.099999905E0
2.325197510E2,6.500514333E1,2.560920500E1,2.532486428E1,1.262613654E0,2.224900055E2,1.399999976E0,7.300000191E0
2.335197510E2,6.500513167E1,2.560918167E1,2.522487024E1,1.272393346E0,2.318300018E2,1.399999976E0,7.099999905E0
2.345197510E2,6.500512333E1,2.560916667E1,2.502487430E1,1.287320256E0,2.314400024E2,1.399999976E0,7.099999905E0
2.355197510E2,6.500511667E1,2.560915167E1,2.492487792E1,1.284231901E0,2.369900055E2,1.399999976E0,7.099999905E0
2.365197510E2,6.500511000E1,2.560913333E1,2.512488194E1,1.273937464E0,2.301000061E2,1.399999976E0,7.099999905E0
2.375197510E2,6.500510500E1,2.560911667E1,2.492488531E1,1.265701890E0,2.333500061E2,1.299999952E0,7.000000000E0
2.385197510E2,6.500509833E1,2.560909500E1,2.492488973E1,1.262098908E0,2.289400024E2,1.299999952E0,7.099999905E0
2.395197510E2,6.500509000E1,2.560906667E1,2.512489542E1,1.289379120E0,2.322500000E2,1.299999952E0,7.099999905E0
2.405197510E2,6.500508000E1,2.560903833E1,2.542490155E1,1.291952729E0,2.285599976E2,1.399999976E0,7.099999905E0
2.415197510E2,6.500507500E1,2.560901167E1,2.542490614E1,1.282173038E0,2.351399994E2,1.399999976E0,7.300000191E0
2.425197510E2,6.500506667E1,2.560898500E1,2.562491163E1,1.298644185E0,2.276499939E2,1.399999976E0,7.199999809E0
2.435197510E2,6.500506000E1,2.560895833E1,2.562491666E1,1.305335522E0,2.375500031E2,1.399999976E0,7.199999809E0
2.445197510E2,6.500505333E1,2.560893333E1,2.552492150E1,1.305850267E0,2.349299927E2,1.399999976E0,7.300000191E0
2.455197510E2,6.500504667E1,2.560891500E1,2.562492552E1,1.326439142E0,2.375500031E2,1.399999976E0,7.099999905E0
2.465197510E2,6.500504000E1,2.560889000E1,2.592493035E1,1.344454408E0,2.437599945E2,1.399999976E0,7.099999905E0
2.475197510E2,6.500503500E1,2.560886667E1,2.602493454E1,1.337763071E0,2.550000000E2,1.399999976E0,7.199999809E0
2.485197510E2,6.500502833E1,2.560884500E1,2.612493897E1,1.323350787E0,2.370500031E2,1.399999976E0,7.199999809E0
2.495197510E2,6.500502167E1,2.560882167E1,2.612494360E1,1.312026978E0,2.416199951E2,1.399999976E0,7.199999809E0
2.505197510E2,6.500501500E1,2.560879667E1,2.612494844E1,1.293496966E0,2.357700043E2,1.399999976E0,7.199999809E0
2.515197510E2,6.500500500E1,2.560877333E1,2.622495396E1,1.293496966E0,2.303000031E2,1.399999976E0,7.000000000E0
2.525197510E2,6.500499667E1,2.560874833E1,2.632495925E1,1.269819736E0,2.320500031E2,1.399999976E0,7.000000000E0
2.535197510E2,6.500499000E1,2.560872167E1,2.642496429E1,1.259010553E0,2.470899963E2,1.399999976E0,7.000000000E0
2.545197510E2,6.500498667E1,2.560869833E1,2.632496803E1,1.249745607E0,2.515099945E2,1.399999976E0,7.099999905E0
2.555197510E2,6.500498500E1,2.560867833E1,2.632497092E1,1.230700850E0,2.714299927E2,1.399999976E0,7.000000000E0
2.565197510E2,6.500498667E1,2.560865667E1,2.652497311E1,1.205479503E0,2.730400085E2,1.399999976E0,7.099999905E0
2.575197510E2,6.500498500E1,2.560863667E1,2.672497600E1,1.203935266E0,2.659700012E2,1.399999976E0,6.900000095E0
2.585197510E2,6.500498333E1,2.560861000E1,2.662497970E1,1.221435785E0,2.672699890E2,1.299999952E0,7.000000000E0
2.595197510E2,6.500498333E1,2.560857667E1,2.662498377E1,1.226068377E0,2.729500122E2,1.399999976E0,7.000000000E0
2.605197510E2,6.500498500E1,2.560854833E1,2.642498678E1,1.224524140E0,2.744299927E2,1.399999976E0,7.000000000E0
2.615197510E2,6.500498500E1,2.560851833E1,2.602499044E1,1.242539406E0,2.733299866E2,1.399999976E0,7.199999809E0
2.625197510E2,6.500499000E1,2.560849500E1,2.622499195E1,1.244083643E0,3.036900024E2,1.399999976E0,7.000000000E0
2.635197510E2,6.500499667E1,2.560847167E1,2.612499301E1,1.251804471E0,3.101799927E2,1.299999952E0,7.199999809E0
2.645197510E2,6.500500333E1,2.560845500E1,2.582499326E1,1.247686625E0,3.299599915E2,1.399999976E0,7.099999905E0
2.655197510E2,6.500501167E1,2.560844333E1,2.582499245E1,1.249745607E0,3.355799866E2,1.399999976E0,7.199999809E0
2.665197510E2,6.500502167E1,2.560843000E1,2.592499139E1,1.262613654E0,3.341799927E2,1.399999976E0,7.300000191E0
2.675197510E2,6.500503167E1,2.560841167E1,2.612499095E1,1.297099948E0,3.360000000E2,1.399999976E0,7.300000191E0
2.685197510E2,6.500504500E1,2.560839000E1,2.622499002E1,1.304820776E0,3.233599854E2,1.399999976E0,7.300000191E0
2.695197510E2,6.500505667E1,2.560837167E1,2.622498913E1,1.305850267E0,3.234400024E2,1.399999976E0,7.400000095E0
2.705197510E2,6.500506667E1,2.560835167E1,2.622498888E1,1.342910290E0,3.240400085E2,1.399999976E0,7.400000095E0
2.715197510E2,6.500508000E1,2.560833667E1,2.612498714E1,1.349087000E0,3.373200073E2,1.399999976E0,7.500000000E0
2.725197510E2,6.500509167E1,2.560832167E1,2.592498584E1,1.360410810E0,3.388999939E2,1.399999976E0,7.699999809E0
2.735197510E2,6.500510167E1,2.560830833E1,2.592498478E1,1.377396703E0,3.305499878E2,1.399999976E0,7.500000000E0
2.745197510E2,6.500511167E1,2.560829333E1,2.612498393E1,1.378940821E0,3.366000061E2,1.399999976E0,7.599999905E0
2.755197510E2,6.500512167E1,2.560827833E1,2.652498308E1,1.364013910E0,3.372999878E2,1.399999976E0,7.500000000E0
2.765197510E2,6.500513000E1,2.560826167E1,2.662498287E1,1.370705247E0,3.290100098E2,1.399999976E0,7.500000000E0
2.775197510E2,6.500513833E1,2.560825500E1,2.672498145E1,1.357837200E0,3.283500061E2,1.399999976E0,7.500000000E0
2.785197510E2,6.500514833E1,2.560824333E1,2.672498019E1,1.338792443E0,3.198900146E2,1.399999976E0,7.599999905E0
2.795197510E2,6.500515667E1,2.560823000E1,2.692497958E1,1.322836161E0,3.222200012E2,1.399999976E0,7.599999905E0
2.805197510E2,6.500516667E1,2.560821500E1,2.702497873E1,1.310482740E0,3.271700134E2,1.399999976E0,7.699999809E0
2.815197510E2,6.500517833E1,2.560820333E1,2.732497702E1,1.285776138E0,3.348500061E2,1.399999976E0,7.400000095E0
2.825197510E2,6.500518833E1,2.560819333E1,2.762497555E1,1.232759714E0,3.294500122E2,1.399999976E0,7.400000095E0
2.835197510E2,6.500519833E1,2.560818333E1,2.782497409E1,1.175625563E0,3.456900024E2,1.399999976E0,7.500000000E0
2.845197510E2,6.500520833E1,2.560816667E1,2.772497344E1,1.178199172E0,3.297699890E2,1.299999952E0,7.300000191E0
2.855197510E2,6.500522000E1,2.560815333E1,2.742497193E1,1.203420520E0,3.380400085E2,1.399999976E0,7.400000095E0
2.865197510E2,6.500522833E1,2.560813667E1,2.742497173E1,1.215259194E0,3.333200073E2,1.399999976E0,7.400000095E0
2.875197510E2,6.500523833E1,2.560812167E1,2.772497087E1,1.201876402E0,3.281900024E2,1.399999976E0,7.300000191E0
2.885197510E2,6.500524500E1,2.560810000E1,2.772497172E1,1.209082484E0,3.216400146E2,1.399999976E0,7.300000191E0
2.895197510E2,6.500525667E1,2.560808167E1,2.772497082E1,1.242539406E0,3.258900146E2,1.399999976E0,7.300000191E0
2.905197510E2,6.500527000E1,2.560807000E1,2.752496867E1,1.233789206E0,3.314599915E2,1.399999976E0,7.400000095E0
2.915197510E2,6.500527833E1,2.560806000E1,2.722496765E1,1.215259194E0,3.385000000E2,1.399999976E0,7.300000191E0
2.925197510E2,6.500528833E1,2.560804833E1,2.692496639E1,1.222465277E0,3.304299927E2,1.399999976E0,7.400000095E0
2.935197510E2,6.500529833E1,2.560804000E1,2.662496472E1,1.239965796E0,3.394599915E2,1.299999952E0,7.500000000E0
2.945197510E2,6.500530833E1,2.560802167E1,2.652496426E1,1.243054152E0,3.299899902E2,1.399999976E0,7.400000095E0
2.955197510E2,6.500531333E1,2.560801000E1,2.672496434E1,1.241510034E0,3.196400146E2,1.399999976E0,7.800000191E0
2.965197510E2,6.500532000E1,2.560798667E1,2.682496540E1,1.232759714E0,3.173299866E2,1.399999976E0,7.699999809E0
2.975197510E2,6.500532833E1,2.560796667E1,2.662496559E1,1.281658292E0,3.231400146E2,1.399999976E0,7.699999809E0
2.985197510E2,6.500533833E1,2.560795167E1,2.652496474E1,1.310997486E0,3.348599854E2,1.399999976E0,7.500000000E0
2.995197510E2,6.500534833E1,2.560794167E1,2.632496327E1,1.278055310E0,3.342900085E2,1.399999976E0,7.599999905E0
3.005197510E2,6.500535667E1,2.560792667E1,2.632496286E1,1.272908092E0,3.329899902E2,1.399999976E0,7.500000000E0
3.015197510E2,6.500536667E1,2.560791000E1,2.682496220E1,1.293496966E0,3.497000122E2,1.399999976E0,7.400000095E0
3.025197510E2,6.500537500E1,2.560789500E1,2.682496179E1,1.306879759E0,3.401900024E2,1.399999976E0,7.400000095E0
3.035197510E2,6.500538333E1,2.560787500E1,2.682496199E1,1.292982221E0,3.323500061E2,1.399999976E0,7.400000095E0
3.045197510E2,6.500539000E1,2.560786167E1,2.702496182E1,1.259525299E0,3.330599976E2,1.399999976E0,7.500000000E0
3.055197510E2,6.500539833E1,2.560785167E1,2.732496080E1,1.238421679E0,3.285299988E2,1.399999976E0,7.300000191E0
3.065197510E2,6.500540333E1,2.560783167E1,2.742496189E1,1.251289725E0,3.179800110E2,1.399999976E0,7.500000000E0
3.075197510E2,6.500541500E1,2.560781000E1,2.752496139E1,1.244083643E0,3.255599976E2,1.399999976E0,7.400000095E0
3.085197510E2,6.500542833E1,2.560779833E1,2.712495923E1,1.224524140E0,3.287500000E2,1.399999976E0,7.599999905E0
3.095197510E2,6.500543833E1,2.560778833E1,2.702495776E1,1.229671359E0,3.338200073E2,1.399999976E0,7.500000000E0
3.105197510E2,6.500544833E1,2.560777333E1,2.672495690E1,1.206508875E0,3.284299927E2,1.399999976E0,7.599999905E0
3.115197510E2,6.500545833E1,2.560775667E1,2.672495624E1,1.202905774E0,3.227999878E2,1.399999976E0,7.599999905E0
3.125197510E2,6.500546833E1,2.560774500E1,2.652495497E1,1.201361656E0,3.331000061E2,1.399999976E0,7.599999905E0
3.135197510E2,6.500547667E1,2.560772500E1,2.632495517E1,1.219376922E0,3.263099976E2,1.299999952E0,7.500000000E0
3.145197510E2,6.500548500E1,2.560771000E1,2.632495476E1,1.232759714E0,3.229200134E2,1.299999952E0,7.599999905E0
3.155197510E2,6.500549667E1,2.560770000E1,2.642495284E1,1.281143665E0,3.255000000E2,1.299999952E0,7.500000000E0
3.165197510E2,6.500551000E1,2.560768667E1,2.632495088E1,1.286805511E0,3.257500000E2,1.399999976E0,7.599999905E0
3.175197510E2,6.500552167E1,2.560767500E1,2.622494916E1,1.260554671E0,3.373200073E2,1.299999952E0,7.599999905E0
3.185197510E2,6.500553167E1,2.560766667E1,2.622494749E1,1.237906933E0,3.380799866E2,1.299999952E0,7.500000000E0
3.195197510E2,6.500554000E1,2.560765833E1,2.622494626E1,1.216803312E0,3.381700134E2,1.399999976E0,7.500000000E0
3.205197510E2,6.500554833E1,2.560765000E1,2.612494503E1,1.225038886E0,3.264899902E2,1.399999976E0,7.400000095E0
3.215197510E2,6.500555667E1,2.560763167E1,2.592494502E1,1.213714957E0,3.379100037E2,1.399999976E0,7.699999809E0
3.225197510E2,6.500556500E1,2.560762500E1,2.582494360E1,1.221950531E0,3.245299988E2,1.399999976E0,7.599999905E0
3.235197510E2,6.500557167E1,2.560760833E1,2.562494383E1,1.198273301E0,3.206600037E2,1.399999976E0,7.500000000E0
